,Label,V0_600,V1_600,V2_600,V0_550,V1_550,V2_550,V0_500,V1_500,V2_500,V0_450,V1_450,V2_450
0,0.0,-0.02503,-0.0022010000000000003,-0.002251,-0.0311,-0.0019489999999999998,-0.0019199999999999998,-0.03544,-0.0004414,0.001021,-0.04178,0.00257,0.005947999999999999
1,0.0,-0.03508,-0.0030489999999999996,-0.004273,-0.0405,-0.0025050000000000003,-0.003572,-0.04571,-0.0008372999999999999,0.0006848,-0.03022,0.001299,0.005647
2,0.0,-0.042289999999999994,-0.0036009999999999996,-0.006156,-0.04743,-0.00288,-0.0052759999999999994,-0.053520000000000005,-0.001141,2.657e-05,-0.03355,0.002378,0.0058909999999999995
3,0.0,-0.03927,-0.003421,-0.005376,-0.04442,-0.002723,-0.004599,-0.05094,-0.001109,0.00043439999999999993,-0.03581,0.001704,0.0066549999999999995
4,0.0,-0.052020000000000004,-0.004279,-0.009340000000000001,-0.05652000000000001,-0.00344,-0.007992,-0.06242999999999999,-0.001582,-0.001347,-0.04584,0.002255,0.008034999999999999
5,0.0,-0.05545,-0.004607,-0.01061,-0.059820000000000005,-0.003665,-0.009151000000000001,-0.06584,-0.0018440000000000002,-0.0019760000000000003,-0.0487,0.002514,0.008375
6,0.0,-0.0589,-0.004855,-0.01214,-0.06197999999999999,-0.0037479999999999996,-0.00974,-0.06781000000000001,-0.001852,-0.0024230000000000002,-0.04943,0.002925,0.008511
7,0.0,-0.061970000000000004,-0.005157,-0.013640000000000001,-0.06513,-0.004028,-0.01123,-0.07042000000000001,-0.002114,-0.003061,-0.05259,0.002751,0.008831
8,0.0,-0.06072999999999999,-0.005005,-0.013009999999999999,-0.0642,-0.003995,-0.01086,-0.06946000000000001,-0.002102,-0.002806,-0.05272999999999999,0.00252,0.008948000000000001
9,0.0,-0.06694,-0.005573,-0.016319999999999998,-0.07012,-0.0045780000000000005,-0.01366,-0.0747,-0.002534,-0.004452,-0.05686,0.002682,0.00916
10,0.0,-0.06922,-0.005803,-0.01757,-0.07207999999999999,-0.0047469999999999995,-0.014830000000000001,-0.07645,-0.0027370000000000003,-0.005067,-0.058710000000000005,0.002636,0.009214
11,0.0,-0.07114,-0.005978,-0.01878,-0.07389,-0.004932,-0.01593,-0.07811,-0.002926,-0.005779,-0.05996,0.002594,0.009242
12,1.0,-0.01853,-0.002218,-0.007509,-0.01914,-0.002339,-0.023780000000000003,-0.02061,-0.001401,-0.08396,-0.01138,0.01518,-0.09095
13,1.0,-0.0172,-0.0022649999999999997,-0.009481999999999999,-0.0178,-0.002939,-0.03242,-0.021769999999999998,-0.0022129999999999997,-0.1004,-0.015119999999999998,0.014159999999999999,-0.09963999999999999
14,1.0,-0.01615,-0.00225,-0.01082,-0.01701,-0.0032770000000000004,-0.03935,-0.02283,-0.00293,-0.1077,-0.01835,0.01152,-0.1028
15,1.0,-0.01535,-0.002171,-0.01193,-0.01671,-0.00329,-0.04572,-0.02401,-0.003276,-0.1138,-0.019190000000000002,0.01091,-0.1038
16,1.0,-0.01457,-0.0021079999999999996,-0.013059999999999999,-0.0165,-0.00343,-0.051879999999999996,-0.02531,-0.0036490000000000003,-0.1224,-0.019719999999999998,0.01057,-0.1044
17,1.0,-0.01402,-0.0020870000000000003,-0.014119999999999999,-0.01658,-0.0034990000000000004,-0.057479999999999996,-0.026510000000000002,-0.004007,-0.1267,-0.02014,0.01028,-0.1051
18,1.0,-0.01347,-0.002039,-0.0152,-0.0167,-0.003568,-0.06297,-0.027589999999999996,-0.004361,-0.1303,-0.0204,0.01011,-0.1052
19,1.0,-0.013009999999999999,-0.002006,-0.01626,-0.01693,-0.003674,-0.06799,-0.028630000000000003,-0.0047350000000000005,-0.1333,-0.0206,0.009943,-0.1057
20,1.0,-0.01268,-0.001973,-0.01722,-0.0173,-0.003858,-0.07276,-0.02961,-0.0050880000000000005,-0.1358,-0.020819999999999998,0.009748999999999999,-0.1059
21,1.0,-0.012240000000000001,-0.0019579999999999997,-0.018330000000000003,-0.01761,-0.0040100000000000005,-0.07732,-0.03046,-0.005424,-0.1378,-0.02095,0.009583,-0.1062
22,1.0,-0.01197,-0.001952,-0.019459999999999998,-0.01794,-0.0040490000000000005,-0.08139,-0.031310000000000004,-0.00579,-0.1396,-0.02103,0.009424,-0.1065
23,1.0,-0.0297,-0.003505,-0.013080000000000001,-0.02912,-0.004521,-0.02978,-0.025789999999999997,-0.00331,-0.08398,-0.013630000000000001,0.009714,-0.09676
24,1.0,-0.028360000000000003,-0.003587,-0.01526,-0.027410000000000004,-0.004684000000000001,-0.03702,-0.025869999999999997,-0.0034909999999999997,-0.09706000000000001,-0.0148,0.009954000000000001,-0.09935
25,1.0,-0.02721,-0.0036030000000000003,-0.01707,-0.02605,-0.004758,-0.04373,-0.026119999999999997,-0.003616,-0.1057,-0.01569,0.0101,-0.1009
26,1.0,-0.02617,-0.003594,-0.01859,-0.02511,-0.00479,-0.049569999999999996,-0.0267,-0.003771,-0.1116,-0.01646,0.010209999999999999,-0.102
27,1.0,-0.02534,-0.00358,-0.019819999999999997,-0.024480000000000002,-0.004793,-0.055479999999999995,-0.027410000000000004,-0.0040149999999999995,-0.1163,-0.01744,0.01015,-0.1024
28,1.0,-0.02453,-0.003549,-0.02112,-0.02391,-0.004831,-0.06085,-0.028210000000000002,-0.004251,-0.1243,-0.018009999999999998,0.01012,-0.1035
29,1.0,-0.023719999999999998,-0.0035369999999999998,-0.02224,-0.02365,-0.00491,-0.06592,-0.02901,-0.004549,-0.1279,-0.01854,0.01004,-0.1039
30,1.0,-0.02298,-0.003425,-0.02332,-0.023280000000000002,-0.004899000000000001,-0.071,-0.02984,-0.004834000000000001,-0.1311,-0.01886,0.009982,-0.1044
31,1.0,-0.02246,-0.003453,-0.02428,-0.02329,-0.004992,-0.07542,-0.030610000000000002,-0.005142,-0.1335,-0.019530000000000002,0.009694,-0.1041
32,1.0,-0.02193,-0.0034509999999999996,-0.02535,-0.02331,-0.005053,-0.07979,-0.03136,-0.005451,-0.1359,-0.019780000000000002,0.009551,-0.1049
33,1.0,-0.02145,-0.0034549999999999997,-0.026330000000000003,-0.0234,-0.0051329999999999995,-0.08353,-0.03203,-0.005767,-0.1377,-0.020059999999999998,0.009389,-0.1053
34,1.0,-0.0384,-0.004399,-0.017759999999999998,-0.03739,-0.005490999999999999,-0.03373,-0.030969999999999998,-0.003932,-0.08258,-0.014430000000000002,0.009555,-0.09518
35,1.0,-0.0372,-0.004554,-0.0206,-0.03515,-0.005632,-0.04144,-0.03015,-0.003989,-0.09547,-0.01525,0.009872,-0.09751
36,1.0,-0.03603,-0.004615,-0.022869999999999998,-0.03343,-0.005743,-0.048119999999999996,-0.0297,-0.004038,-0.1039,-0.01609,0.009941,-0.09992999999999999
37,1.0,-0.03503,-0.0047,-0.02477,-0.03211,-0.005737,-0.05392,-0.02972,-0.004145,-0.11,-0.01671,0.01011,-0.1017
38,1.0,-0.03411,-0.004685,-0.026510000000000002,-0.03106,-0.005706,-0.059570000000000005,-0.02998,-0.004268999999999999,-0.1141,-0.0175,0.01005,-0.1019
39,1.0,-0.03317,-0.004685,-0.028030000000000003,-0.03032,-0.005806,-0.06464,-0.030410000000000003,-0.00447,-0.1207,-0.018009999999999998,0.01001,-0.1031
40,1.0,-0.0324,-0.004724,-0.02924,-0.02965,-0.005792,-0.0695,-0.030910000000000003,-0.0047350000000000005,-0.1262,-0.01876,0.009809,-0.1036
41,1.0,-0.03162,-0.004679,-0.0305,-0.02908,-0.005794,-0.07397000000000001,-0.03148,-0.004994,-0.1293,-0.01908,0.009738,-0.1045
42,1.0,-0.03096,-0.004682,-0.031689999999999996,-0.02883,-0.0059299999999999995,-0.07817,-0.032060000000000005,-0.005231,-0.1322,-0.01966,0.009469,-0.1047
43,1.0,-0.030239999999999996,-0.004713,-0.032869999999999996,-0.02864,-0.005961999999999999,-0.08211,-0.032619999999999996,-0.0055119999999999995,-0.1344,-0.01995,0.009332,-0.1052
44,1.0,-0.029660000000000002,-0.0046229999999999995,-0.033710000000000004,-0.028489999999999998,-0.006062,-0.08565,-0.0332,-0.005764,-0.1366,-0.0203,0.009105,-0.105
45,1.0,-0.0454,-0.005079,-0.022,-0.04396,-0.006146,-0.036989999999999995,-0.03565,-0.004495,-0.08129,-0.015819999999999997,0.009283,-0.09436
46,1.0,-0.044289999999999996,-0.0052829999999999995,-0.0255,-0.0414,-0.006313,-0.044969999999999996,-0.03408,-0.004463,-0.09421,-0.016130000000000002,0.009754,-0.09761
47,1.0,-0.0432,-0.005408,-0.02827,-0.03949,-0.0064459999999999995,-0.05161,-0.033010000000000005,-0.004385,-0.1028,-0.01659,0.009935,-0.09983
48,1.0,-0.04225,-0.005476,-0.03048,-0.03789,-0.0064459999999999995,-0.05756,-0.03257,-0.004417,-0.1089,-0.017159999999999998,0.01004,-0.1012
49,1.0,-0.04125,-0.005499,-0.03246,-0.03677,-0.006522,-0.06297,-0.03246,-0.004517,-0.1133,-0.017769999999999998,0.009998,-0.1021
50,1.0,-0.04042,-0.005614,-0.0342,-0.03578,-0.006533,-0.06792000000000001,-0.0326,-0.004675,-0.1168,-0.01838,0.009885,-0.1028
51,1.0,-0.03965,-0.005587,-0.03559,-0.03499,-0.006595,-0.07256,-0.032869999999999996,-0.004874,-0.1251,-0.0189,0.00975,-0.1032
52,1.0,-0.03907,-0.005714,-0.036969999999999996,-0.03437,-0.006603,-0.07669,-0.03321,-0.005078,-0.1284,-0.0193,0.009639,-0.1041
53,1.0,-0.03816,-0.005582,-0.03815,-0.033780000000000004,-0.0067209999999999995,-0.08089,-0.03363,-0.005321,-0.1311,-0.0197,0.009431,-0.1045
54,1.0,-0.037469999999999996,-0.005605,-0.03932,-0.033339999999999995,-0.006701,-0.08441,-0.03405,-0.005579,-0.1335,-0.02008,0.009226999999999999,-0.1049
55,1.0,-0.036989999999999995,-0.0057090000000000005,-0.04045,-0.033,-0.006731999999999999,-0.08791,-0.034460000000000005,-0.005828,-0.1355,-0.02024,0.009129,-0.1052
56,1.0,-0.0508,-0.005524,-0.02562,-0.0493,-0.006666,-0.03992,-0.03951,-0.004816,-0.08152999999999999,-0.01662,0.009340000000000001,-0.09409
57,1.0,-0.04988,-0.005902,-0.029539999999999997,-0.04674,-0.0068579999999999995,-0.04786,-0.03746,-0.00476,-0.09409,-0.016669999999999997,0.009765000000000001,-0.09736
58,1.0,-0.04887,-0.0059299999999999995,-0.032639999999999995,-0.04463,-0.0069900000000000006,-0.05459,-0.03607,-0.004683,-0.1022,-0.01697,0.009969,-0.09901
59,1.0,-0.04799,-0.005951,-0.03499,-0.04292,-0.007098999999999999,-0.0607,-0.03525,-0.004654,-0.1083,-0.01736,0.01011,-0.1005
60,1.0,-0.04716,-0.006125,-0.03726,-0.04167,-0.007195999999999999,-0.06596,-0.034839999999999996,-0.004722,-0.1126,-0.01787,0.01009,-0.102
61,1.0,-0.04634,-0.006136,-0.03898,-0.04045,-0.007144,-0.07074,-0.034710000000000005,-0.004837,-0.1159,-0.018269999999999998,0.01,-0.1027
62,1.0,-0.04555,-0.00626,-0.0407,-0.03957,-0.007170999999999999,-0.07515,-0.03475,-0.004993,-0.1244,-0.01877,0.009847,-0.1035
63,1.0,-0.044989999999999995,-0.006281,-0.042010000000000006,-0.03877,-0.0072109999999999995,-0.07932,-0.0349,-0.00518,-0.1277,-0.01909,0.009726,-0.1038
64,1.0,-0.04427,-0.006247,-0.043089999999999996,-0.038110000000000005,-0.007312999999999999,-0.08316,-0.03514,-0.005371,-0.1305,-0.01945,0.009553,-0.1041
65,1.0,-0.04381,-0.006343,-0.0443,-0.03754,-0.0073230000000000005,-0.0867,-0.03542,-0.005587,-0.1328,-0.01968,0.00943,-0.1047
66,1.0,-0.04315,-0.006312,-0.04507,-0.03708,-0.007387,-0.08992,-0.03573,-0.005799,-0.135,-0.01998,0.009189,-0.105
67,1.0,-0.05515,-0.005872,-0.02872,-0.05387,-0.007106,-0.04245,-0.0431,-0.005074,-0.0817,-0.01719,0.009566,-0.09341
68,1.0,-0.0542,-0.006071,-0.03295,-0.05123,-0.007382,-0.05058,-0.040639999999999996,-0.0049960000000000004,-0.09378,-0.017,0.00995,-0.09656
69,1.0,-0.053279999999999994,-0.00624,-0.03637,-0.049069999999999996,-0.007498,-0.05744,-0.03884,-0.00488,-0.1021,-0.0171,0.0102,-0.09882
70,1.0,-0.052579999999999995,-0.006308,-0.03899,-0.04734,-0.007540000000000001,-0.06305,-0.03771,-0.00483,-0.1078,-0.01741,0.01026,-0.1002
71,1.0,-0.051910000000000005,-0.006455,-0.04131,-0.04582,-0.007546,-0.0683,-0.03706,-0.004874,-0.1122,-0.017730000000000003,0.0103,-0.1012
72,1.0,-0.0512,-0.006502,-0.043210000000000005,-0.04465,-0.007681,-0.07318,-0.03665,-0.004914,-0.1156,-0.018080000000000002,0.01015,-0.1023
73,1.0,-0.050660000000000004,-0.006601999999999999,-0.04484,-0.043680000000000004,-0.007698999999999999,-0.07751,-0.0365,-0.005043,-0.1241,-0.01848,0.010020000000000001,-0.1031
74,1.0,-0.05012,-0.006734,-0.04646,-0.0427,-0.00774,-0.08157,-0.03651,-0.0051979999999999995,-0.1273,-0.01889,0.009890000000000001,-0.1036
75,1.0,-0.04969,-0.006802,-0.047760000000000004,-0.042069999999999996,-0.007795999999999999,-0.08517999999999999,-0.03659,-0.005377000000000001,-0.1301,-0.019209999999999998,0.009693,-0.1039
76,1.0,-0.04902,-0.006776000000000001,-0.04886,-0.04147,-0.007852,-0.0886,-0.036719999999999996,-0.005576,-0.1323,-0.01951,0.009486,-0.1041
77,1.0,-0.049,-0.006781999999999999,-0.04899,-0.04137,-0.007873,-0.0885,-0.036610000000000004,-0.005625,-0.1321,-0.01942,0.009301,-0.104
78,1.0,-0.0589,-0.006118,-0.03155,-0.05791,-0.007474,-0.0446,-0.0461,-0.0052369999999999995,-0.08238,-0.01803,0.009661,-0.09279
79,1.0,-0.058039999999999994,-0.00632,-0.03622,-0.05512,-0.00775,-0.052739999999999995,-0.04338,-0.005131,-0.09402999999999999,-0.017490000000000002,0.010029999999999999,-0.09587000000000001
80,1.0,-0.057429999999999995,-0.006593000000000001,-0.039830000000000004,-0.05297,-0.007867,-0.0596,-0.04129,-0.004971,-0.1022,-0.01746,0.01029,-0.09821
81,1.0,-0.056620000000000004,-0.006647,-0.04275,-0.05112,-0.007948,-0.06536,-0.039939999999999996,-0.004932,-0.1078,-0.01759,0.01036,-0.0998
82,1.0,-0.05608,-0.006811,-0.04529,-0.04967,-0.008041,-0.07057000000000001,-0.03903,-0.004936,-0.112,-0.01787,0.01031,-0.101
83,1.0,-0.0556,-0.006934999999999999,-0.04742,-0.04845,-0.008084000000000001,-0.07518999999999999,-0.0385,-0.004992,-0.1156,-0.01819,0.010209999999999999,-0.1017
84,1.0,-0.05505,-0.007056999999999999,-0.0493,-0.04726,-0.008109,-0.07952000000000001,-0.038189999999999995,-0.005089,-0.1237,-0.01859,0.01006,-0.1023
85,1.0,-0.054529999999999995,-0.007115000000000001,-0.05086,-0.046419999999999996,-0.008241,-0.0834,-0.03803,-0.005229999999999999,-0.1268,-0.01884,0.009926,-0.1029
86,1.0,-0.05413,-0.007204,-0.0522,-0.04559,-0.008267,-0.08698,-0.03797,-0.005372,-0.1298,-0.019209999999999998,0.009736,-0.1036
87,1.0,-0.053860000000000005,-0.007301,-0.0537,-0.04489,-0.008307,-0.08997000000000001,-0.03784,-0.005516,-0.1317,-0.01905,0.009698,-0.1038
88,1.0,-0.05384,-0.007301,-0.05365,-0.04482,-0.008338,-0.0899,-0.03765,-0.0055850000000000006,-0.1314,-0.01889,0.009581999999999999,-0.1039
89,1.0,-0.062079999999999996,-0.006314,-0.03428,-0.06138,-0.007781999999999999,-0.04645,-0.0489,-0.005379999999999999,-0.08267000000000001,-0.018619999999999998,0.00983,-0.09257
90,1.0,-0.061329999999999996,-0.006559000000000001,-0.03914,-0.05865,-0.008109,-0.054939999999999996,-0.04579,-0.005224,-0.0946,-0.01791,0.010190000000000001,-0.09607
91,1.0,-0.06076,-0.0068379999999999995,-0.04317,-0.056479999999999995,-0.008253,-0.06164,-0.04358,-0.005118,-0.1022,-0.01772,0.01042,-0.09792999999999999
92,1.0,-0.06027999999999999,-0.006973999999999999,-0.0462,-0.05462,-0.008355,-0.06756000000000001,-0.04195,-0.004995,-0.1079,-0.0178,0.010459999999999999,-0.09952000000000001
93,1.0,-0.05973,-0.007121,-0.04905,-0.05315,-0.008440999999999999,-0.07253,-0.04093,-0.005017,-0.1117,-0.01782,0.01048,-0.1009
94,1.0,-0.05942000000000001,-0.007245999999999999,-0.0512,-0.05177999999999999,-0.008525,-0.07731,-0.04021,-0.005031,-0.1196,-0.0181,0.01039,-0.1018
95,1.0,-0.058929999999999996,-0.007378,-0.05322999999999999,-0.05062,-0.008525,-0.08125,-0.039760000000000004,-0.005124,-0.1234,-0.01842,0.010190000000000001,-0.1026
96,1.0,-0.05867000000000001,-0.00759,-0.054920000000000004,-0.04961,-0.008584,-0.0852,-0.03945,-0.005229,-0.1265,-0.01865,0.010029999999999999,-0.1029
97,1.0,-0.05805,-0.007517,-0.05646,-0.04882,-0.008662999999999999,-0.08854,-0.039310000000000005,-0.005382,-0.1292,-0.019209999999999998,0.009738,-0.1032
98,1.0,-0.05825,-0.007633,-0.05658,-0.04886,-0.00873,-0.08847000000000001,-0.039189999999999996,-0.005445,-0.1289,-0.019030000000000002,0.009599,-0.1035
99,1.0,-0.058370000000000005,-0.007614,-0.056510000000000005,-0.048839999999999995,-0.008701,-0.08843999999999999,-0.0391,-0.005455,-0.1289,-0.018930000000000002,0.009585,-0.1033
100,2.0,-0.02426,-0.002348,-0.003715,-0.04042,-0.003432,-0.005483,-0.050839999999999996,-0.001397,-0.00186,-0.030780000000000002,0.006640000000000001,0.004302
101,2.0,-0.03741,-0.0037170000000000003,-0.007624,-0.051739999999999994,-0.00489,-0.009912,-0.06437999999999999,-0.0032630000000000003,-0.006554000000000001,-0.05002,0.0073349999999999995,0.004398
102,2.0,-0.04608,-0.004834000000000001,-0.01137,-0.059379999999999995,-0.0061600000000000005,-0.01441,-0.07052,-0.004654,-0.01093,-0.054479999999999994,0.007062000000000001,9.435e-05
103,2.0,-0.04265,-0.004368,-0.009911,-0.05607,-0.005734,-0.01251,-0.06775,-0.004601,-0.00902,-0.054560000000000004,0.004659,0.003831
104,2.0,-0.056670000000000005,-0.006187,-0.0174,-0.06953,-0.007993,-0.02181,-0.07761,-0.00614,-0.01823,-0.060070000000000005,0.004541,-0.003907
105,2.0,-0.060489999999999995,-0.006732999999999999,-0.02017,-0.07329,-0.008836,-0.0252,-0.07993,-0.006722,-0.0211,-0.06131,0.003971,-0.0063159999999999996
106,2.0,-0.06371,-0.007106,-0.022719999999999997,-0.07664,-0.009599,-0.0283,-0.08208,-0.007214,-0.023819999999999997,-0.06214,0.0036119999999999998,-0.008638
107,2.0,-0.06699,-0.0077209999999999996,-0.02512,-0.07934,-0.0102,-0.031139999999999998,-0.08407,-0.007928,-0.02677,-0.06293,0.003046,-0.010759999999999999
108,2.0,-0.06558,-0.007439,-0.02383,-0.07801,-0.009883,-0.02982,-0.08309,-0.007902,-0.025580000000000002,-0.06253,0.00268,-0.009689
109,2.0,-0.07225,-0.008477,-0.029539999999999997,-0.08402000000000001,-0.01133,-0.036410000000000005,-0.08705,-0.008859,-0.03151,-0.06426,0.002473,-0.01444
110,2.0,-0.07453,-0.008872,-0.0317,-0.08606,-0.01193,-0.03884,-0.08826,-0.009335,-0.033510000000000005,-0.06481,0.00209,-0.01593
111,2.0,-0.07672000000000001,-0.00924,-0.03365,-0.0879,-0.01241,-0.04099,-0.08918999999999999,-0.009725,-0.03533,-0.0652,0.001883,-0.01725
112,3.0,-0.03336,-0.003788,-0.007811,-0.06642,-0.009182,-0.02174,-0.06035,-0.001295,-0.004823,-0.04255,0.004627,0.004555
113,3.0,-0.05803,-0.007705,-0.022940000000000002,-0.07923,-0.01312,-0.035089999999999996,-0.08141,-0.0055450000000000004,-0.02483,-0.05147,0.003011,-0.01199
114,3.0,-0.06619,-0.008841,-0.029160000000000002,-0.08647,-0.015340000000000001,-0.04332,-0.08623,-0.008051,-0.03125,-0.05284,0.002055,-0.01526
115,3.0,-0.06356,-0.008496,-0.02737,-0.08356,-0.01445,-0.04003,-0.08569,-0.009537,-0.03218,-0.052610000000000004,0.001001,-0.01526
116,3.0,-0.08082,-0.01204,-0.04455,-0.09717999999999999,-0.01949,-0.05786,-0.09337000000000001,-0.01281,-0.0469,-0.05594,0.000299,-0.024
117,3.0,-0.08566,-0.013080000000000001,-0.05043,-0.1009,-0.02104,-0.06321,-0.09519,-0.014180000000000002,-0.05117,-0.056870000000000004,-0.0001457,-0.02621
118,3.0,-0.09011,-0.014130000000000002,-0.055229999999999994,-0.1041,-0.02228,-0.0677,-0.09672,-0.01516,-0.054529999999999995,-0.057920000000000006,-0.0004343,-0.02798
119,3.0,-0.09378,-0.015090000000000001,-0.059910000000000005,-0.1069,-0.02348,-0.07155,-0.09837,-0.01605,-0.05747000000000001,-0.058379999999999994,-0.0006634,-0.0293
120,3.0,-0.09208,-0.014580000000000001,-0.05782999999999999,-0.1055,-0.02277,-0.06972,-0.09777999999999999,-0.01583,-0.056220000000000006,-0.057879999999999994,-0.0006489,-0.02862
121,3.0,-0.09979,-0.01658,-0.06757,-0.1113,-0.0254,-0.07818,-0.1008,-0.017490000000000002,-0.062220000000000004,-0.05943,-0.001025,-0.03177
122,3.0,-0.1025,-0.01722,-0.07106,-0.113,-0.026269999999999998,-0.081,-0.102,-0.01828,-0.06445,-0.05975,-0.001213,-0.03266
123,3.0,-0.105,-0.01794,-0.0743,-0.1144,-0.02705,-0.08352000000000001,-0.1028,-0.0189,-0.06627999999999999,-0.060489999999999995,-0.001385,-0.03349
